uid,sdn_name,alt_names,sdn_type,sdn_program,
55918,STAR MERIT GLOBAL LIMITED,SKB PIRANHA,Entity ,TCO,
55919,GEOTECH HOLDINGS LIMITED,SKB PIRANYA,Entity ,TCO,
55920,GEORESOURCES LIMITED,SIMBIRSK DESIGN BUREAU,Entity ,TCO,
55921,GEOTECH ENGINEERING LIMITED,NPO GRAN,Entity ,TCO,
55922,CHEER CAPITAL LIMITED,LIMITED LIABILITY COMPANY NAUCHNO PROIZVODSTVENNOE OBYEDINENIE GRAN,Entity ,TCO,
55923,KHOON GROUP LIMITED,GRAN SCIENTIFIC AND PRODUCTION ASSOCIATION,Entity ,TCO,
55924,NOVA LUXE GLOBAL LIMITED,AMITRON ELECTRONICS LLC,Entity ,TCO,
55925,NOVA MANAGEMENT SERVICES LIMITED,PC MSTATOR,Entity ,TCO,
55926,PRAISE MARBLE LIMITED,AO SVETLANA ELEKTRONPRIBOR,Entity ,TCO,
55927,RICHWAY CONSTRUCTION ENGINEERING LIMITED,SVETLANA ELECTRONPRIBOR,Entity ,TCO,
55928,YAU WING CONSTRUCTION AND ENGINEERING LIMITED,NPP TEZ,Entity ,TCO,
55929,"MUHANDIS GENERAL COMPANY FOR CONSTRUCTION, ENGINEERING, MECHANICAL, AGRICULTURAL, AND INDUSTRIAL CONTRACTING",LIMITED LIABILITY COMPANY SCIENTIFIC PRODUCTION CORPORATION TOMILINSKY ELECTRONICS FACTORY,Entity ,"SDGT, IFSR",
55930,"QAHTAN AL-SA'IDI, Muhammad",LLC NPP TEZ,individual,"SDGT, IFSR",
55931,BALADNA FOR AGRICULTURAL INVESTMENTS AND AGRICULTURAL SERVICES AND LIVESTOCK PRODUCTION AND FOOD PRODUCTION AND PROCESSING AND PACKAGING AND PACKAGING OF FOODSTUFFS LIMITED LIABILITY,TOMILINSKY ELECTRONICS FACTORY,Entity ,SDGT,
55935,"HERARD, Dimitri",FGBNU TISNUM,individual,SDGT,
55936,"SANON, Kempes",FSBI TISNCM,individual,SDGT,
55937,"QAHTAN AL-SA'IDI, Hasan",INSTITUTE OF TECHNOLOGY OF ULTRA HARD AND NEW CARBON MATERIALS,individual,"SDGT, IFSR",
55938,"SA'ID, Haytham Sabih",INTHEME LAB,individual,"SDGT, IFSR",
55939,PRINCE BANK PLC.,IQSKLAD,Entity ,TCO,
55940,GRAND LEGEND INTERNATIONAL ASSET MANAGEMENT GROUP CO. LTD.,SMART WAREHOUSE GROUP OF COMPANIES - IQSKLAD,Entity ,TCO,
55941,"CHEN, Xiao'er",AO KORPORATSIYA GALAKTIKA,individual,TCO,
55942,SURE TYCOON LIMITED,GALACTICA CORPORATION,Entity ,TCO,
55943,"YANG, Jian",AO NITS REZONANS,individual,TCO,
55944,SWORD RIVER LIMITED,AO SRC REZONANS,Entity ,TCO,
55945,TOWARDS SUNSHINE LIMITED,AO AEROKON,Entity ,TCO,
55948,UNITED RICHES GLOBAL LIMITED,RADIOLAIN,Entity ,TCO,
55949,"YANG, Yanming",LLC RADIOLINE,individual,TCO,
55950,"HUANG, Chieh",PROTEKH,individual,TCO,
55951,"WANG, Michelle Reishane",ELPROM LLC,individual,TCO,
55952,"SHIH, Ting-yu",LLC HEAD POINT,individual,TCO,
55953,"WANG, Guodan",PALITRUMLAB LLC,individual,TCO,
55954,JING PIN INC.,AO AKMETRON,Entity ,TCO,
55955,AQUA PURE WATER INC.,"ABUBAKAR, Swalleh",Entity ,TCO,
55956,"ZHU, Zhongbiao","SWALLEH, Abubaker",individual,TCO,
55957,"CHHAY, Guy","NABAGGALA, Hamidah",individual,TCO,
55958,"DARA, Ing","NABAGGALA, Hamida",individual,TCO,
55959,SUN AND SUN LIMITED,ZAO TSFT,Entity ,TCO,
55961,BRIGHT TEAM GLOBAL LIMITED,AO 31 GPISS,Entity ,TCO,
55963,MIGHTY DIVINE HK LIMITED,NAUCHNO PROIZVODSTVENNOE OBYEDINENIE VYCHISLITELNYKH SISTEM,Entity ,TCO,
55964,MIGHTY DIVINE MANAGEMENT LIMITED,OTKRYTOE AKTSIONERNOE OBSHCHESTVO VLADIMIRSKOE KONSTRUKTORSKOE BYURO RADIOSVYAZI,Entity ,TCO,
55965,MIGHTY DIVINE FINE ART FUND,NILAKT DOSAAF,Entity ,TCO,
55967,MIGHTY DIVINE FUND SPC,AO NPTS NIIMP,Entity ,TCO,
55968,MIGHTY DIVINE GLOBAL FUND SPC,AKTSIONERNOE OBSHCHESTVO NAUCHNO PROIZVODSTVENNYI TSENTR NII MIKROPRIBOROV,Entity ,TCO,
55969,MIGHTY DIVINE INSURANCE BROKERS LIMITED,JSC NPTS NIIMP,Entity ,TCO,
55970,MIGHTY DIVINE INVESTMENT MANAGEMENT LIMITED,AKTSIONERNOE OBSHCHESTVO NPO LEPTON,Entity ,TCO,
55971,MIGHTY DIVINE LIMITED,AO NPO LEPTON,Entity ,TCO,
55973,MIGHTY DIVINE PERSONNEL CONSULTANTS LIMITED,RPA LEPTON,Entity ,TCO,
55974,MIGHTY DIVINE SECURITIES LIMITED,PUBLIC LIMITED COMPANY SCIENTIFIC RESEARCH INSTITUTE FOR OPTOELECTRONIC INSTRUMENT ENGINEERING,Entity ,TCO,
55975,MIGHTY DIVINE TRUST HONG KONG LIMITED,JSC SCIENTIFIC-RESEARCH INSTITUTE OF POLYMER MATERIALS,Entity ,TCO,
55976,"ZHOU, Yun",AO NPO GIPO,individual,TCO,
55977,"LI, Thet",FGBU 4 TSNII MINOBORONY ROSSII,individual,TCO,
55978,"YEO, Sin Huat Alan",FGBU 27 TSNII MINOBORONY ROSSII,individual,TCO,
55979,"WEI, Qianjiang",FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE UCHREZHDENIE 46 TSENTRALNYI NAUCHNO ISSLEDOVATELSKII INSTITUT MINISTERSTVA OBORONY ROSSIISKOI FEDERATSII,individual,TCO,
55980,WARP DATA TECHNOLOGY LAO SOLE CO. LTD.,FGBU 46 TSNII MINOBORONY ROSSII,Entity ,TCO,
55981,DW CAPITAL HOLDINGS PTE. LTD.,46TH CENTRAL RESEARCH INSTITUTE,Entity ,TCO,
55982,CAPITAL ZONE WAREHOUSING PTE. LTD.,46TH TSNII,Entity ,TCO,
55983,SKYLINE INVESTMENT MANAGEMENT PTE. LTD.,OAO 766 UPTK,Entity ,TCO,
55984,PRINCE HUAN YU REAL ESTATE CAMBODIA GROUP CO. LTD.,OPEN JOINT STOCK COMPANY 766 MANAGEMENT OF PRODUCTION AND TECHNOLOGICAL EQUIPMENT,Entity ,TCO,
55985,LUMINOUS GLOW LIMITED,AO SKB MO RF,Entity ,TCO,
55986,MERCIFUL HANDS GAZA,FSUE 766 UPTK,Entity ,SDGT,
55987,WAED CAPTIVE AND LIBERATORS SOCIETY,OPEN JOINT STOCK COMPANY RASPADSKAYA,Entity ,SDGT,
55988,AL-SALAMEH SOCIETY GAZA,FEDERAL RESEARCH CENTER COMPUTER SCIENCE AND CONTROL OF THE RUSSIAN ACADEMY OF SCIENCES,Entity ,SDGT,
55989,AWESOME GLOBAL INVESTMENT GROUP CO. LTD.,FRC CSC RAS,Entity ,TCO,
55990,CLOUD XERO MANAGEMENT PTE. LTD.,FRC IU RAS,Entity ,TCO,
55991,ATLASWISE CONSULTANTS PTE. LTD.,INSTITUTE OF INFORMATICS PROBLEMS OF RUSSIAN ACADEMY OF SCIENCES,Entity ,TCO,
55992,PRINCE HOROLOGY VOCATIONAL TRAINING CENTER,FITS IU RAN,Entity ,TCO,
55993,BELT ROAD CAPITAL MANAGEMENT CAMBODIA CO. LTD.,ANO AI RESEARCH INSTITUTE,Entity ,TCO,
55994,WARPCAPITAL YACHT MANAGEMENT PTE. LTD.,JOINT STOCK COMPANY EVRAZ KACHKANARCKY ORE MINING AND PROCESSING PLANT,Entity ,TCO,
55995,TAIWAN PRINCE REAL ESTATE INVESTMENT CO. LTD.,JOINT STOCK COMPANY EVRAZ NIZHNY TAGIL METALLURGICAL PLANT,Entity ,TCO,
55996,"TANG, Nigel Wan Bao Nabil",JOINT STOCK COMPANY EVRAZ CONSOLIDATED WEST SIBERIAN METALLURGICAL PLANT,individual,TCO,
55997,CAMBODIAN HENG XIN REAL ESTATE INVESTMENT CO. LTD.,JOINT STOCK COMPANY EVRAZ VANADY TULA,Entity ,TCO,
55998,JIN BEI GROUP CO. LTD.,EVRAZ VANADI TULA AO,Entity ,TCO,
55999,GOLDEN FORTUNE RESORTS WORLD CO. LTD.,EVRAZ VANADII TULA,Entity ,TCO,
